pays;reseau;nom;cle;N;Nobs;manquant;p60;p300;p600;dispersion;annulJour;arretsSupprJour;jours;verdict;motif
Allemagne;de_gtfsde;;de_gtfsde|47089;340.3;211.5;38;32.3;62.1;74.7;42.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|193254;329.3;175.8;47;18.5;66.9;90.8;72.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|1;513;172.3;66;43.5;87;96.2;52.7;0;0;6;REJETEE;identite non resolue
Pays-Bas;nl_ovapi;Den Haag Centraal;nl_ovapi|denhaagcentraal@52.08,4.32;312;161.8;48;84.7;98.1;99.2;14.5;0.5;0;6;REJETEE;ponctualite 98 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|403247;253.8;161.3;36;32.6;59.5;73.8;41.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 60 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|172045;259.8;157.5;39;12.1;69;95.9;83.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|4;346.2;155.5;55;44.7;86.4;96;51.3;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|281863;261;155.5;40;15.1;69.3;95;79.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|663202;294.5;155.3;47;23.5;73.8;95.5;72;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|624218;258.5;152.5;41;16.6;70.7;94.6;78;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|550752;258.8;151.5;41;12.4;70.1;95.2;82.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|613092;268;147;45;31.5;62.9;77.7;46.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|391411;281.8;144.8;49;52.7;78.8;89.6;37;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
