pays;reseau;gare;nom;N;ponctualite;fraicheur;distincts;annulesJour;jours;statut;K;verdict;motif
Allemagne;de_gtfsde;sostkreuzbhfberlin@52.50,13.47;sostkreuzbhfberlin;1594.9;96.4;98.5;242;0;7;superstar;426;RETENUE;
Allemagne;de_gtfsde;sufriedrichstrbhfberlin@52.52,13.39;sufriedrichstrbhfberlin;1304.1;96.8;99.1;158;0;7;superstar;348;RETENUE;
Allemagne;de_gtfsde;suberlinhauptbahnhof@52.53,13.37;suberlinhauptbahnhof;1240.3;92.8;97.3;203;0;7;superstar;331;RETENUE;
Allemagne;de_gtfsde;ssdkreuzbhfberlin@52.48,13.37;ssdkreuzbhfberlin;1212.1;94.4;98.6;200;0;7;superstar;324;RETENUE;
Pays-Bas;nl_ovapi;utrechtcentraal@52.09,5.11;utrechtcentraal;1143.7;94.6;99.1;586;0;7;superstar;305;RETENUE;
Allemagne;de_gtfsde;swestkreuzberlin@52.50,13.28;swestkreuzberlin;1093.9;95.6;99.3;203;0;7;superstar;292;RETENUE;
Allemagne;de_gtfsde;donnersbergerbrcke@48.14,11.54;donnersbergerbrcke;1051.1;82.3;95.7;42;0;7;superstar;281;RETENUE;
Pays-Bas;nl_ovapi;amsterdamcentraal@52.38,4.90;amsterdamcentraal;1014.6;92.1;99.1;666;0;7;superstar;271;RETENUE;
Allemagne;de_gtfsde;dsseldorfhbf@51.22,6.79;dsseldorfhbf;1013.9;69.3;96.3;260;0;7;superstar;271;RETENUE;
Allemagne;de_gtfsde;suwarschauerstrberlin@52.51,13.45;suwarschauerstrberlin;1001.1;96.9;99;148;0;7;superstar;267;RETENUE;
Allemagne;de_gtfsde;frankfurtmainhauptbahnhof@50.11,8.66;frankfurtmainhauptbahnhof;913.3;75.6;96.1;112;0;7;superstar;244;RETENUE;
Allemagne;de_gtfsde;supotsdamerplatzbhfberlin@52.51,13.38;supotsdamerplatzbhfberlin;911.1;95.5;98.7;122;0;7;superstar;243;RETENUE;
Allemagne;de_gtfsde;sugesundbrunnenbhfberlin@52.55,13.39;sugesundbrunnenbhfberlin;900;94.4;96;175;0;7;superstar;240;RETENUE;
Allemagne;de_gtfsde;hauptbahnhofoben@48.78,9.18;hauptbahnhofoben;868.4;86;96.1;80;0;7;superstar;232;RETENUE;
Pays-Bas;nl_ovapi;amsterdamsloterdijk@52.39,4.84;amsterdamsloterdijk;866.9;93.8;98.7;576;0;7;superstar;232;RETENUE;
Allemagne;de_gtfsde;scharlottenburgbhfberlin@52.50,13.30;scharlottenburgbhfberlin;857.1;95.2;98;136;0;7;superstar;229;RETENUE;
Allemagne;de_gtfsde;rosenheimerplatz@48.13,11.59;rosenheimerplatz;848.1;81.5;97.2;37;0;7;superstar;227;RETENUE;
Norvege;no_entur;oslos@59.91,10.75;oslos;838.3;86.6;97.8;802;0;7;superstar;224;RETENUE;
Allemagne;de_gtfsde;sostbahnhofberlin@52.51,13.44;sostbahnhofberlin;838;95.7;98.6;193;0;7;superstar;224;RETENUE;
Allemagne;de_gtfsde;hackerbrcke@48.14,11.55;hackerbrcke;830.3;79.4;97;37;0;7;superstar;222;RETENUE;
Allemagne;de_gtfsde;klnhbf@50.94,6.96;klnhbf;829.6;69.1;94.1;221;0;7;superstar;222;RETENUE;
Allemagne;de_gtfsde;isartor@48.13,11.58;isartor;829;81.4;97.1;36;0;7;superstar;222;RETENUE;
Allemagne;de_gtfsde;hirschgarten@48.14,11.52;hirschgarten;808.7;81;96.6;35;0;7;superstar;216;RETENUE;
Allemagne;de_gtfsde;ostbahnhof@48.13,11.60;ostbahnhof;801.7;79.4;95;56;0;7;superstar;214;RETENUE;
Allemagne;de_gtfsde;karlsplatzstachus@48.14,11.57;karlsplatzstachus;799.9;80.7;96;34;0;7;superstar;214;RETENUE;
Allemagne;de_gtfsde;sulichtenbergbhfberlin@52.51,13.50;sulichtenbergbhfberlin;789.9;95.7;97.7;184;0;7;superstar;211;RETENUE;
Allemagne;de_gtfsde;hamburghbfkirchenallee@53.55,10.01;hamburghbfkirchenallee;764.6;94.8;86.5;41;0;7;superstar;204;RETENUE;
Allemagne;de_gtfsde;klnmessedeutzbf@50.94,6.97;klnmessedeutzbf;764.4;73.5;94.7;269;0;7;superstar;204;RETENUE;
Allemagne;de_gtfsde;nrnberghbf@49.45,11.08;nrnberghbf;751.3;82.6;96.8;107;0;7;superstar;201;RETENUE;
Pays-Bas;nl_ovapi;schipholairport@52.31,4.76;schipholairport;741.7;92.2;98.2;594;0;7;superstar;198;RETENUE;
Pays-Bas;nl_ovapi;rotterdamcentraal@51.92,4.47;rotterdamcentraal;738.4;93.2;99.2;520;0;7;superstar;197;RETENUE;
Allemagne;de_gtfsde;mnchenhbf@48.14,11.56;mnchenhbf;725.7;81.4;97.2;102;0;7;superstar;194;RETENUE;
Allemagne;de_gtfsde;sschneweidebhfberlin@52.45,13.51;sschneweidebhfberlin;712;97.2;97.8;101;0;7;superstar;190;RETENUE;
Allemagne;de_gtfsde;sujannowitzbrckeberlin@52.52,13.42;sujannowitzbrckeberlin;710.7;95.4;98.3;116;0;7;superstar;190;RETENUE;
Allemagne;de_gtfsde;laim@48.14,11.50;laim;707.4;79.1;95.6;35;0;7;superstar;189;RETENUE;
Allemagne;de_gtfsde;shackeschermarktberlin@52.52,13.40;shackeschermarktberlin;703.3;95.1;99.1;112;0;7;superstar;188;RETENUE;
Allemagne;de_gtfsde;sualexanderplatzbhfberlin@52.52,13.41;sualexanderplatzbhfberlin;702.7;95.2;99.3;154;0;7;superstar;188;RETENUE;
Allemagne;de_gtfsde;sbellevueberlin@52.52,13.35;sbellevueberlin;698.6;95.7;98.8;146;0;7;superstar;187;RETENUE;
Allemagne;de_gtfsde;stiergartenberlin@52.51,13.34;stiergartenberlin;694.3;95.8;98.8;149;0;7;superstar;186;RETENUE;
Allemagne;de_gtfsde;hamburglandungsbrcken@53.55,9.97;hamburglandungsbrcken;694;93.5;99.8;39;0;7;superstar;186;RETENUE;
Allemagne;de_gtfsde;suzoologischergartenbhfberlin@52.51,13.33;suzoologischergartenbhfberlin;689.1;95.4;98.9;102;0;7;superstar;184;RETENUE;
Allemagne;de_gtfsde;hamburgreeperbahn@53.55,9.96;hamburgreeperbahn;684.6;93.3;99.8;39;0;7;superstar;183;RETENUE;
Allemagne;de_gtfsde;essenhbf@51.45,7.01;essenhbf;681.9;69.8;97;187;0;7;superstar;182;RETENUE;
Allemagne;de_gtfsde;hamburgstadthausbrcke@53.55,9.98;hamburgstadthausbrcke;677.9;93.6;99.7;40;0;7;superstar;181;RETENUE;
Etats-Unis;us_mta_lirr;jamaica@40.70,-73.81;jamaica;670.7;96;95.7;642;0.29;7;superstar;179;RETENUE;
Allemagne;de_gtfsde;hamburgjungfernstieg@53.55,9.99;hamburgjungfernstieg;669;93.4;99.6;38;0;7;superstar;179;RETENUE;
Allemagne;de_gtfsde;hamburgknigstrae@53.55,9.94;hamburgknigstrae;668;93.5;99.7;36;0;7;superstar;179;RETENUE;
Allemagne;de_gtfsde;frankfurtmaintaunusanlage@50.11,8.67;frankfurtmaintaunusanlage;661.7;80.5;97.7;48;0;7;superstar;177;RETENUE;
Allemagne;de_gtfsde;frankfurtmainostendstrae@50.11,8.70;frankfurtmainostendstrae;659;80.1;97.8;45;0;7;superstar;176;RETENUE;
Allemagne;de_gtfsde;frankfurtmainkonstablerwache@50.11,8.69;frankfurtmainkonstablerwache;656.9;80.2;97.9;46;0;7;superstar;176;RETENUE;
Allemagne;de_gtfsde;streptowerparkberlin@52.49,13.46;streptowerparkberlin;654.1;97.6;99.2;118;0;7;superstar;175;RETENUE;
Allemagne;de_gtfsde;sfriedrichsfeldeostberlin@52.51,13.52;sfriedrichsfeldeostberlin;654;95.7;98.7;129;0;7;superstar;175;RETENUE;
Allemagne;de_gtfsde;snldnerplatzberlin@52.50,13.48;snldnerplatzberlin;653.9;96.4;98.7;119;0;7;superstar;175;RETENUE;
Allemagne;de_gtfsde;marienplatz@48.14,11.58;marienplatz;650.4;80.8;95.7;35;0;7;superstar;174;RETENUE;
Allemagne;de_gtfsde;dortmundhbf@51.52,7.46;dortmundhbf;638.9;71;97;276;0;7;superstar;171;RETENUE;
Allemagne;de_gtfsde;hauptbahnhofutram@48.14,11.56;hauptbahnhofutram;638.6;79.2;95.9;37;0;7;superstar;171;RETENUE;
Allemagne;de_gtfsde;frankfurtmainhauptbahnhoftief@50.11,8.66;frankfurtmainhauptbahnhoftief;637.1;80.2;96.2;48;0;7;superstar;170;RETENUE;
Allemagne;de_gtfsde;hamburghamburgharburg@53.46,9.99;hamburghamburgharburg;623.3;83.2;97.5;84;0;7;superstar;167;RETENUE;
Allemagne;de_gtfsde;sschnebergberlin@52.48,13.35;sschnebergberlin;614.1;97.5;98.3;98;0;7;superstar;164;RETENUE;
Allemagne;de_gtfsde;karlsruhehauptbahnhof@48.99,8.40;karlsruhehauptbahnhof;610.3;83.3;97.2;268;0;7;superstar;163;RETENUE;
Norvege;no_entur;nationaltheatretstasjon@59.92,10.73;nationaltheatretstasjon;607.6;80.4;100;755;0;7;superstar;163;RETENUE;
