pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Pays-Bas;nl_ovapi;Utrecht Centraal;nl_ovapi|utrechtcentraal@52.09,5.11;553.8;390.5;71;77.3;94.8;97.5;20.1;0.39;0.33;8;108;6;3.5;0;REJETEE;volume irregulier (CV 0.39)
Pays-Bas;nl_ovapi;Amsterdam Sloterdijk;nl_ovapi|amsterdamsloterdijk@52.39,4.84;405.5;304.7;75;48.1;95.4;98.6;50.4;0.42;0.41;5;152;6;3;0;REJETEE;volume irregulier (CV 0.42)
Pays-Bas;nl_ovapi;Rotterdam Centraal;nl_ovapi|rotterdamcentraal@51.92,4.47;533.7;269.7;51;71.3;94.1;97.7;26.4;0.52;0.46;11;91;6;5;0;REJETEE;volume irregulier (CV 0.52)
Pays-Bas;nl_ovapi;Leiden Centraal;nl_ovapi|leidencentraal@52.17,4.48;332.5;242.8;73;75.4;95.5;98.2;22.8;0.45;0.42;8;126;6;0.5;0;REJETEE;volume irregulier (CV 0.45)
Pays-Bas;nl_ovapi;'s-Hertogenbosch;nl_ovapi|shertogenbosch@51.69,5.29;307.7;232;75;57.3;95;98.3;41;0.43;0.35;10;99;6;0.33;0;REJETEE;volume irregulier (CV 0.43)
Pays-Bas;nl_ovapi;Arnhem Centraal;nl_ovapi|arnhemcentraal@51.99,5.90;342.3;220.8;65;69.7;93.3;96.4;26.7;0.47;0.41;10;88;6;0.83;0;REJETEE;volume irregulier (CV 0.47)
Pays-Bas;nl_ovapi;Amsterdam Zuid;nl_ovapi|amsterdamzuid@52.34,4.87;269.8;219;81;74.4;96.5;98.6;24.2;0.46;0.43;6;121;6;2.5;0;REJETEE;volume irregulier (CV 0.46)
Allemagne;de_gtfsde;;de_gtfsde|47089;340.3;211.5;62;32.3;62.1;74.7;42.4;1.15;1.1;25;14;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.15)
Allemagne;de_gtfsde;;de_gtfsde|193254;329.3;175.8;53;18.5;66.9;90.8;72.3;1.2;1.17;23;11;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.20)
Pays-Bas;nl_ovapi;Den Haag HS;nl_ovapi|denhaaghs@52.07,4.32;267.8;175.5;66;74.7;95;97.9;23.2;0.53;0.45;11;81;6;0.5;0;REJETEE;volume irregulier (CV 0.53)
Pays-Bas;nl_ovapi;Amersfoort Centraal;nl_ovapi|amersfoortcentraal@52.15,5.37;254.8;172.5;68;70.1;94.7;97.9;27.7;0.43;0.36;6;117;6;1.33;0;REJETEE;volume irregulier (CV 0.43)
Etats-Unis;us_mta_mnr;;us_mta_mnr|1;513;172.3;34;43.5;87;96.2;52.7;0.19;0.2;12;62;6;0;0;REJETEE;identite non resolue
Pays-Bas;nl_ovapi;Delft;nl_ovapi|delft@52.01,4.36;253;166.7;66;71.1;95.3;98.3;27.2;0.54;0.46;7;86;6;0.17;0;REJETEE;volume irregulier (CV 0.54)
Pays-Bas;nl_ovapi;Eindhoven Centraal;nl_ovapi|eindhovencentraal@51.44,5.48;233.8;166.5;71;70.2;95.5;98.5;28.3;0.37;0.33;7;115;6;0.67;0;REJETEE;volume irregulier (CV 0.37)
Pays-Bas;nl_ovapi;Nijmegen;nl_ovapi|nijmegen@51.84,5.85;323.3;164.3;51;70.6;94.8;98.9;28.3;0.6;0.54;98;112;6;1.83;0;REJETEE;volume irregulier (CV 0.60) , ponctualite erratique (amplitude 98 pt)
Pays-Bas;nl_ovapi;Den Haag Centraal;nl_ovapi|denhaagcentraal@52.08,4.32;312;161.8;52;84.7;98.1;99.2;14.5;0.55;0.47;3;80;6;0.5;0;REJETEE;ponctualite 98.1 % > 98 % , volume irregulier (CV 0.55)
Allemagne;de_gtfsde;;de_gtfsde|403247;253.8;161.3;64;32.6;59.5;73.8;41.2;1.04;0.97;38;14;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.04)
Allemagne;de_gtfsde;;de_gtfsde|172045;259.8;157.5;61;12.1;69;95.9;83.8;1.18;1.16;34;8;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.18)
Etats-Unis;us_mta_mnr;;us_mta_mnr|4;346.2;155.5;45;44.7;86.4;96;51.3;0.09;0.1;17;80;6;0;0;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|281863;261;155.5;60;15.1;69.3;95;79.9;1.18;1.15;11;9;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.18)
Allemagne;de_gtfsde;;de_gtfsde|663202;294.5;155.3;53;23.5;73.8;95.5;72;0.98;0.94;27;11;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.98)
Pays-Bas;nl_ovapi;Breda;nl_ovapi|breda@51.60,4.78;235.5;155.3;66;69.6;96.2;98.8;29.2;0.48;0.4;3;96;6;0.67;0;REJETEE;volume irregulier (CV 0.48)
Allemagne;de_gtfsde;;de_gtfsde|624218;258.5;152.5;59;16.6;70.7;94.6;78;1.12;1.08;18;8;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.12)
Allemagne;de_gtfsde;;de_gtfsde|550752;258.8;151.5;59;12.4;70.1;95.2;82.8;1.16;1.13;14;10;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.16)
Pays-Bas;nl_ovapi;Den Haag Laan v NOI;nl_ovapi|denhaaglaanvnoi@52.08,4.34;223.2;149.2;67;69.7;95.9;98;28.3;0.4;0.42;9;159;6;0.33;0;REJETEE;volume irregulier (CV 0.40)
Allemagne;de_gtfsde;;de_gtfsde|613092;268;147;55;31.5;62.9;77.7;46.3;1.14;1.08;34;14;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.14)
Pays-Bas;nl_ovapi;Schiedam Centrum;nl_ovapi|schiedamcentrum@51.92,4.41;258;145.3;56;65.6;95.2;98.4;32.8;0.58;0.49;4;69;6;0.17;0;REJETEE;volume irregulier (CV 0.58)
Allemagne;de_gtfsde;;de_gtfsde|391411;281.8;144.8;51;52.7;78.8;89.6;37;1.13;1.05;23;22;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.13)
Allemagne;de_gtfsde;;de_gtfsde|601297;249;144.8;58;19;70.5;94;75;1.19;1.16;41;6;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.19)
