pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Pays-Bas;nl_ovapi;Schiphol Airport;nl_ovapi|schipholairport@52.31,4.76;724.5;419.8;58;73.5;96;98.6;25;0.29;0.28;6;131;6;5.33;0;RETENUE;
Pays-Bas;nl_ovapi;Amsterdam Centraal;nl_ovapi|amsterdamcentraal@52.38,4.90;588.5;395.8;67;62.4;93.1;97;34.6;0.34;0.35;8;148;6;3.83;0;RETENUE;
Australie;au_translink_seq;Central station;au_translink_seq|centralstation@-27.47,153.03;436.8;227.7;52;66.4;94.6;98.7;32.3;0.21;0.24;12;73;6;0.5;0.67;RETENUE;
Australie;au_translink_seq;Bowen Hills station;au_translink_seq|bowenhillsstation@-27.45,153.04;417.3;221.8;53;54;94.2;98.6;44.6;0.21;0.24;12;73;6;0.33;2.17;RETENUE;
Australie;au_translink_seq;Fortitude Valley station;au_translink_seq|fortitudevalleystation@-27.46,153.03;416.8;218.2;52;44.8;93.2;98.5;53.8;0.21;0.25;9;73;6;0.5;2.17;RETENUE;
Australie;au_translink_seq;Roma Street station;au_translink_seq|romastreetstation@-27.47,153.02;429.2;216.2;50;55.5;93.6;98.5;42.9;0.21;0.25;10;72;6;0.5;2.5;RETENUE;
Australie;au_translink_seq;Eagle Junction station;au_translink_seq|eaglejunctionstation@-27.41,153.05;308.7;158.2;51;40.7;93.8;98.8;58.2;0.2;0.24;9;78;6;0.33;1.17;RETENUE;
Pays-Bas;nl_ovapi;Zwolle;nl_ovapi|zwolle@52.51,6.09;251.8;155;62;70.1;93.5;97.8;27.7;0.34;0.34;10;153;6;1.33;0;RETENUE;
Australie;au_translink_seq;Northgate station;au_translink_seq|northgatestation@-27.39,153.07;242.2;127.3;53;55.9;94.8;98.8;42.9;0.23;0.24;6;90;6;0.33;0.5;RETENUE;
Australie;au_translink_seq;Boggo Road station;au_translink_seq|boggoroadstation@-27.49,153.03;191;109.7;57;47.4;91;97.1;49.7;0.22;0.24;16;78;6;0.17;1.83;RETENUE;
Australie;au_translink_seq;South Brisbane station;au_translink_seq|southbrisbanestation@-27.47,153.02;186.5;104.7;56;48.9;90.9;97.3;48.4;0.2;0.24;20;80;6;0;1.5;RETENUE;
Australie;au_translink_seq;South Bank station;au_translink_seq|southbankstation@-27.48,153.02;193.2;104.3;54;44.1;89.9;97;52.9;0.22;0.25;20;77;6;0;1.83;RETENUE;
