pays;reseau;nom;cle;Nobs;echantillon;p60;p300;dispersion;famille;motif
Pays-Bas;nl_ovapi;Schiphol Airport;nl_ovapi|schipholairport@52.31,4.76;419.8;2519;73.5;96;25;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Centraal;nl_ovapi|amsterdamcentraal@52.38,4.90;395.8;2375;62.4;93.1;34.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Utrecht Centraal;nl_ovapi|utrechtcentraal@52.09,5.11;390.5;2343;77.3;94.8;20.1;A_QUALIFIER;
Pays-Bas;nl_ovapi;Rotterdam Centraal;nl_ovapi|rotterdamcentraal@51.92,4.47;269.7;1618;71.3;94.1;26.4;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|1;172.3;1034;43.5;87;52.7;A_QUALIFIER;
Australie;au_translink_seq;Central station;au_translink_seq|centralstation@-27.47,153.03;227.7;1366;66.4;94.6;32.3;A_QUALIFIER;
Australie;au_translink_seq;Roma Street station;au_translink_seq|romastreetstation@-27.47,153.02;216.2;1297;55.5;93.6;42.9;A_QUALIFIER;
Australie;au_translink_seq;Bowen Hills station;au_translink_seq|bowenhillsstation@-27.45,153.04;221.8;1331;54;94.2;44.6;A_QUALIFIER;
Australie;au_translink_seq;Fortitude Valley station;au_translink_seq|fortitudevalleystation@-27.46,153.03;218.2;1309;44.8;93.2;53.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Sloterdijk;nl_ovapi|amsterdamsloterdijk@52.39,4.84;304.7;1828;48.1;95.4;50.4;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|4;155.5;933;44.7;86.4;51.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Arnhem Centraal;nl_ovapi|arnhemcentraal@51.99,5.90;220.8;1325;69.7;93.3;26.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|47089;211.5;846;32.3;62.1;42.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Leiden Centraal;nl_ovapi|leidencentraal@52.17,4.48;242.8;1457;75.4;95.5;22.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|193254;175.8;703;18.5;66.9;72.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Nijmegen;nl_ovapi|nijmegen@51.84,5.85;164.3;986;70.6;94.8;28.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Haag Centraal;nl_ovapi|denhaagcentraal@52.08,4.32;161.8;971;84.7;98.1;14.5;EXCLUE;ponctualite 98.1 %
Australie;au_translink_seq;Eagle Junction station;au_translink_seq|eaglejunctionstation@-27.41,153.05;158.2;949;40.7;93.8;58.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;'s-Hertogenbosch;nl_ovapi|shertogenbosch@51.69,5.29;232;1392;57.3;95;41;A_QUALIFIER;
Pays-Bas;nl_ovapi;Dordrecht;nl_ovapi|dordrecht@51.81,4.67;143.3;860;73.3;95.1;25.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|663202;155.3;621;23.5;73.8;72;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|391411;144.8;579;52.7;78.8;37;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Zuid;nl_ovapi|amsterdamzuid@52.34,4.87;219;1314;74.4;96.5;24.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|613092;147;588;31.5;62.9;46.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Haag HS;nl_ovapi|denhaaghs@52.07,4.32;175.5;1053;74.7;95;23.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|281863;155.5;622;15.1;69.3;79.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|172045;157.5;630;12.1;69;83.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|550752;151.5;606;12.4;70.1;82.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|624218;152.5;610;16.6;70.7;78;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|652093;81.5;326;79.1;97.5;19;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|543581;138;552;33.3;62.3;43.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Schiedam Centrum;nl_ovapi|schiedamcentrum@51.92,4.41;145.3;872;65.6;95.2;32.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amersfoort Centraal;nl_ovapi|amersfoortcentraal@52.15,5.37;172.5;1035;70.1;94.7;27.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|403247;161.3;645;32.6;59.5;41.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Delft;nl_ovapi|delft@52.01,4.36;166.7;1000;71.1;95.3;27.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Zwolle;nl_ovapi|zwolle@52.51,6.09;155;930;70.1;93.5;27.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|601297;144.8;579;19;70.5;75;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|225778;35.8;143;81.1;95.8;14.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|579841;130;520;14;69;80.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|633156;127;508;14.8;68.7;79.7;A_QUALIFIER;
Australie;au_translink_seq;Northgate station;au_translink_seq|northgatestation@-27.39,153.07;127.3;764;55.9;94.8;42.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|96530;133.3;533;20.6;70.4;73.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|41174;110.5;442;56.6;79.2;26.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|228723;109;436;41.1;78.2;52.1;A_QUALIFIER;
Pays-Bas;nl_ovapi;Breda;nl_ovapi|breda@51.60,4.78;155.3;932;69.6;96.2;29.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Eindhoven Centraal;nl_ovapi|eindhovencentraal@51.44,5.48;166.5;999;70.2;95.5;28.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|14844;109.5;438;35.8;60;37;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Haag Laan v NOI;nl_ovapi|denhaaglaanvnoi@52.08,4.34;149.2;895;69.7;95.9;28.3;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|124;77.7;466;46.4;83.5;47.6;A_QUALIFIER;
